"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-10","3.4",,"0.0","0.0","0.0",,"18.3","12.2",,"  240","  240","7.6","12.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-11","2.1",,"0.0","0.0","0.0",,"13.9","6.1",,"  310","  310","7.6","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-12","2.3",,"0.8","0.0","0.0",,"10.0","6.1",,"   60","   50","5.4","7.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-13","3.9",,"6.6","0.0","0.0",,"21.1","7.2",,"  250","  260","9.4","14.8","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-14","3.3",,"0.0","0.0","0.0",,"13.9","6.1",,"  300","  310","8.1","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-15","2.8",,"0.0","0.0","0.0",,"12.2","4.4",,"   30","   20","6.7","9.8",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-16","4.0",,"0.0","0.0","0.0",,"7.2","0.6",,"   40","   40","7.2","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-17","1.9",,"4.1","0.0","0.0",,"12.2","5.0",,"  260","  250","6.3","9.4","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-18","2.0",,"0.0","0.0","0.0",,"12.2","5.0",,"  140","  150","5.8","8.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-19","2.1",,"23.6","0.0","0.0",,"11.1","5.0",,"   70","   60","7.2","9.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-20","2.6",,"0.0","0.0","0.0",,"25.0","8.3",,"  280","  250","8.1","15.2","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-21","3.5",,"0.0","0.0","0.0",,"18.3","4.4",,"   40","   50","7.2","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-22","4.5",,"0.0","0.0","0.0",,"7.2","0.6",,"   50","   20","7.6","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-23","4.1",,"29.5","0.0","0.0",,"5.0","2.2",,"   40","   30","8.9","13.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-24","3.0",,"0.0","0.0","0.0",,"12.8","2.2",,"   40","  300","6.7","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-25","4.4",,"0.3","0.0","0.0",,"7.2","4.4",,"   50","   60","9.8","14.8",,,,,,
